hostnames,fpl_letter,fst_mass,fst_masserr1,fst_masserr2,fst_age,fst_ageerr1,fst_ageerr2,fst_met,fst_meterr1,fst_meterr2,fst_dist,fst_disterr1,fst_disterr2,Nss,Pnull,BIC1,rhoN,Phigh,HJflag,insamp,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_dens,fpl_denserr1,fpl_denserr2
K2-173,b,0.88,0.03,-0.04,-,-,-,-0.25,0.08,-0.08,230.14,1.95,-1.95,600,0.0019494527707661572,52.35755064180671,0.010144339916600666,1.5142809455246526e-10,N,N,3.22,-,-,-,-,-,5.868699,0.000446,-0.000408,-,-,-,1.608,0.16,-0.105,4.25,-,-
K2-174,b,0.7,0.03,-0.02,-,-,-,0.113,0.065,-0.071,100.1,1.0,-1.0,600,0.00044674318656462355,14.500615977863845,2.4729774557846746,0.9209445656701091,N,N,7.27,-,-,0.126,0.001,-0.001,19.562307,7.8e-05,-7.6e-05,-,-,-,2.6,0.1,-0.1,2.27,-,-
K2-175,b,1.09,0.06,-0.04,-,-,-,0.05,0.08,-0.08,249.01,2.79,-2.79,600,2.244100841225295e-05,69.04050553340335,0.7593655138519165,0.5803775448708276,N,N,4.81,-,-,-,-,-,9.525988,0.001241,-0.00128,-,-,-,2.0380000000000003,0.355,-0.271,3.12,-,-
K2-176,b,0.94,0.02,-0.02,-,-,-,0.15,0.08,-0.08,249.01,3.65,-3.65,600,4.839692676490718e-05,72.16962107755137,1.297608428939963,0.9234056675872474,N,N,2.83,-,-,-,-,-,5.329439,0.00061,-0.000709,-,-,-,1.4909999999999999,0.12300000000000001,-0.09300000000000001,4.69,-,-
K2-177,b,1.21,0.03,-0.04,-,-,-,0.41,0.08,-0.08,499.02,12.81,-12.81,273,0.0027286171442064446,52.93006242779734,1.4821047914153722,0.9662087150982237,N,N,5.13,-,-,-,-,-,14.155185,0.00315,-0.002965,-,-,-,2.116,0.28300000000000003,-0.159,2.97,-,-
K2-178,b,0.95,0.02,-0.03,-,-,-,0.09,0.08,-0.08,216.08,1.83,-1.83,600,0.0006823996981533705,70.22075876441272,4.76398638762876,0.9944435203627655,N,N,12.4,-,-,-,-,-,8.747818,0.000363,-0.000358,-,-,-,3.5580000000000003,0.204,-0.138,1.51,-,-
K2-179,b,0.82,0.02,-0.03,-,-,-,0.03,0.08,-0.08,191.84,2.11,-2.11,600,2.9711093842867224e-05,82.20542423811139,1.7753015307630926,0.8792095105096713,N,N,6.86,-,-,-,-,-,5.172191,0.000201,-0.000202,-,-,-,2.513,0.16399999999999998,-0.121,2.38,-,-
K2-181,b,0.99,0.04,-0.04,-,-,-,0.23,0.06,-0.06,364.82,5.36,-5.36,600,2.355177190820959e-06,126.49808596235346,0.06356751030130135,8.772421164297987e-09,N,N,8.45,-,-,0.0706,0.001,-0.001,6.894256,0.000704,-0.000722,-,-,-,2.84,0.2,-0.2,2.03,-,-
K2-182,b,0.88,0.02,-0.02,-,-,-,0.09,0.05,-0.05,155.9,1.19,-1.19,600,0.0009018537519736929,31.790358523204077,0.557770111990286,0.4870799387754446,N,N,8.05,-,-,0.0529,0.0003,-0.0003,4.736837,7.9e-05,-8.1e-05,-,-,-,2.76,0.07,-0.07,2.1,-,-
K2-183,b,0.93,0.04,-0.04,-,-,-,0.09,0.06,-0.06,331.77,4.15,-4.15,600,1.951338990980264e-06,131.79585440953701,0.011408234319183565,1.4630740477731928e-30,N,N,7.27,-,-,-,-,-,0.469269,2.6e-05,-2.4e-05,-,-,-,2.5989999999999998,25.513,-1.391,2.27,-,-
K2-183,c,0.93,0.04,-0.04,-,-,-,0.09,0.06,-0.06,331.77,4.15,-4.15,600,9.135510686466907e-08,131.79585440953701,0.01105361579033908,6.530253507786331e-31,N,N,8.6,-,-,0.0932,0.0012,-0.0012,10.792635,0.001175,-0.001054,-,-,-,2.87,0.21,-0.21,2.0,-,-
K2-183,d,0.93,0.04,-0.04,-,-,-,0.09,0.06,-0.06,331.77,4.15,-4.15,600,3.0698069389879786e-06,131.79585440953701,0.012714705371450582,2.2546402893582424e-29,N,N,8.55,-,-,0.1527,0.002,-0.002,22.631964,0.004371,-0.003094,-,-,-,2.86,0.27,-0.27,2.01,-,-
K2-184,b,0.86,0.02,-0.02,-,-,-,-0.07,0.05,-0.05,75.79,0.33,-0.33,600,6.62046014328755e-05,85.70452743169528,0.28694292707122837,0.031035800129107977,N,N,3.02,-,-,0.1229,0.0009,-0.0009,16.995731,0.001288,-0.00129,-,-,-,1.55,0.09,-0.09,4.46,-,-
K2-185,b,0.98,0.03,-0.03,-,-,-,-0.05,0.08,-0.08,270.41,3.28,-3.28,600,0.0005630322291878967,70.70913046691669,2.0912113588895966,0.9250485568052058,N,N,2.28,-,-,-,-,-,10.616646,0.001632,-0.001801,-,-,-,1.3130000000000002,0.22,-0.11599999999999999,5.54,-,-
K2-186,b,1.02,0.02,-0.03,-,-,-,0.06,0.08,-0.08,333.84,5.42,-5.42,600,0.00010813845429027315,94.65019681799163,0.5143378003219108,0.6538916969630106,N,N,10.2,-,-,-,-,-,41.474219,0.003288,-0.004316,-,-,-,3.1719999999999997,0.264,-0.163,1.76,-,-
K2-188,b,1.06,0.03,-0.03,-,-,-,-0.01,0.05,-0.05,452.9,8.43,-8.43,401,1.3442916466730053e-05,107.43837348370118,0.7114677497374854,0.4907747738858941,N,N,2.39,-,-,0.0289,0.0003,-0.0003,1.742169,0.000457,-0.000365,-,-,-,1.35,0.11,-0.11,5.34,-,-
K2-188,c,1.06,0.03,-0.03,-,-,-,-0.01,0.05,-0.05,452.9,8.43,-8.43,401,1.3442916466730053e-05,107.43837348370118,0.7114677497374854,0.4907747738858941,N,N,8.4,-,-,0.0785,0.0008,-0.0008,7.810253,0.000846,-0.000844,-,-,-,2.83,0.15,-0.15,2.04,-,-
